run_family	run_variant	topology	prompt_regime	scaling_rl	curriculum	evidence_kind	step	Avg@1	Pass@1	ExecutorNativeFormatViolations	InvalidFormatTerminationRate	InvalidActionTerminationRate	PlannerInvalidFormatRate	PlannerFallbackRate	PlannerTagOnlyRate	source_file	notes
single_agent_baseline	base_model_eval	single_agent	single_agent_native	False	none	reference	0	0.672827	0.733333	0.0	0.0	0.088889				/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/babyai_multi_agent_diagnostics_2026-03-09/babyai_eval_comparison_report.txt	Single-agent BabyAI baseline from historical comparison report.
fixed_round_2agent_tagged	Sanity step-15	planner_executor	tagged_planner_executor	False	fixed_20	composite_checkpoints	15	0.722397	0.766667	0.0	0.0	0.0	0.0	0.0	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/babyai_multi_agent_diagnostics_2026-03-09/babyai_eval_comparison_report.txt	Composite fixed-round 2-agent evidence assembled from multiple historical checkpoints; not a single uninterrupted training trajectory.
fixed_round_2agent_tagged	Sanity step-50	planner_executor	tagged_planner_executor	False	fixed_20	composite_checkpoints	50	0.411854	0.433333	0.011111	0.011111	0.0	0.677778	0.677778	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/babyai_multi_agent_diagnostics_2026-03-09/babyai_eval_comparison_report.txt	Composite fixed-round 2-agent evidence assembled from multiple historical checkpoints; not a single uninterrupted training trajectory.
fixed_round_2agent_tagged	Diagnostic step-100 v2	planner_executor	tagged_planner_executor	False	fixed_20	composite_checkpoints	100	0.65748	0.688889	0.0	0.0	0.011111	0.011111	0.011111	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/babyai_multi_agent_diagnostics_2026-03-09/babyai_eval_comparison_report.txt	Composite fixed-round 2-agent evidence assembled from multiple historical checkpoints; not a single uninterrupted training trajectory.
fixed_round_2agent_tagged	Resume step-236	planner_executor	tagged_planner_executor	False	fixed_20	composite_checkpoints	236	0.431932	0.533333	0.033333	0.033333	0.422222	1.0	1.0	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/babyai_multi_agent_diagnostics_2026-03-09/babyai_eval_comparison_report.txt	Composite fixed-round 2-agent evidence assembled from multiple historical checkpoints; not a single uninterrupted training trajectory.
fixed_round_2agent_tagged	Resume step-350	planner_executor	tagged_planner_executor	False	fixed_20	composite_checkpoints	350	-0.2	0.0	1.0	1.0	0.0	1.0	1.0	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/babyai_multi_agent_diagnostics_2026-03-09/babyai_eval_comparison_report.txt	Composite fixed-round 2-agent evidence assembled from multiple historical checkpoints; not a single uninterrupted training trajectory.
fixed_round_4agent_reviewers	reviewer_step_50	planner_executor_reviewers	tagged_with_reviewers	False	fixed_20	single_run_checkpoints	50	0.7396441327200995	0.7777777777777778	0.06666666666666665	0.06666666666666667	0.0	0.0	0.0	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/babyai_multi_agent_diagnostics_2026-03-14/eval_step50_reviewers_manual.log	Fixed-round 4-agent reviewer run.
fixed_round_4agent_reviewers	reviewer_step_100	planner_executor_reviewers	tagged_with_reviewers	False	fixed_20	single_run_checkpoints	100	0.5105164806048076	0.5333333333333333	0.34444444444444444	0.34444444444444444	0.022222222222222223	0.0	0.0	0.03333333333333333	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/babyai_multi_agent_diagnostics_2026-03-14/eval_step100_reviewers_manual.log	Fixed-round 4-agent reviewer run.
fixed_round_4agent_reviewers	reviewer_step_150	planner_executor_reviewers	tagged_with_reviewers	False	fixed_20	single_run_checkpoints	150	0.1343066755268309	0.14444444444444443	0.5666666666666667	0.5666666666666667	0.03333333333333333	0.0	0.0	0.06666666666666667	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/babyai_multi_agent_diagnostics_2026-03-14/eval_step150_reviewers_manual.log	Fixed-round 4-agent reviewer run.
tagged_scaling_2agent	step_50	planner_executor	tagged_planner_executor	True	[6,13,20]	single_run_checkpoints	50	0.7442706210745705	0.8	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/babyai_multi_agent_diagnostics_2026-03-21/mavino_collapse_2agent_scaling_100/eval_summary.tsv	Tagged prompt ScalingRL run that exhibits recursive prompt-scaffold collapse.
tagged_scaling_2agent	step_100	planner_executor	tagged_planner_executor	True	[6,13,20]	single_run_checkpoints	100	-0.16204471704032686	0.03333333333333333	0.8	0.8	0.16666666666666666	0.9888888888888889	0.0	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/babyai_multi_agent_diagnostics_2026-03-21/mavino_collapse_2agent_scaling_100/eval_summary.tsv	Tagged prompt ScalingRL run that exhibits recursive prompt-scaffold collapse.
plain_split_scaling_2agent	step_50	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	50	0.46072190933757357	0.4888888888888889	0.0444444444444444	0.044444444444444446	0.022222222222222223	0.1333333333333333	0.13333333333333333	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step50.log	No-tag ScalingRL run with coarse curriculum.
plain_split_scaling_2agent	step_60	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	60	0.4605761766433716	0.4777777777777778	0.011111111111111072	0.011111111111111112	0.0	0.2666666666666667	0.26666666666666666	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step60.log	No-tag ScalingRL run with coarse curriculum.
plain_split_scaling_2agent	step_70	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	70	0.2294160564740499	0.25555555555555554	0.0	0.0	0.044444444444444446	0.24444444444444446	0.24444444444444444	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step70.log	No-tag ScalingRL run with coarse curriculum.
plain_split_scaling_2agent	step_80	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	80	0.3321821714440982	0.34444444444444444	0.011111111111111072	0.011111111111111112	0.044444444444444446	0.4666666666666667	0.4666666666666667	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step80.log	No-tag ScalingRL run with coarse curriculum.
plain_split_scaling_2agent	step_90	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	90	0.374486110607783	0.4111111111111111	0.0	0.0	0.044444444444444446	0.4444444444444444	0.4444444444444444	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step90.log	No-tag ScalingRL run with coarse curriculum.
plain_split_scaling_2agent	step_100	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	100	0.4045963148276011	0.43333333333333335	0.0	0.0	0.0	0.37777777777777777	0.37777777777777777	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step100.log	No-tag ScalingRL run with coarse curriculum.
plain_split_scaling_2agent	step_150	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	150	0.6242480852537685	0.6888888888888889	0.1333333333333333	0.13333333333333333	0.011111111111111112	0.011111111111111072	0.011111111111111112	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step150.log	No-tag ScalingRL run with coarse curriculum.
plain_split_scaling_2agent	step_200	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	200	0.7552296585506864	0.8111111111111111	0.0444444444444444	0.044444444444444446	0.022222222222222223	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step200.log	No-tag ScalingRL run with coarse curriculum.
plain_split_scaling_2agent	step_250	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	250	0.690505296157466	0.7444444444444445	0.0444444444444444	0.044444444444444446	0.011111111111111112	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step250.log	No-tag ScalingRL run with coarse curriculum.
plain_split_scaling_2agent	step_300	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	300	0.7236441158586078	0.7888888888888889	0.033333333333333326	0.03333333333333333	0.07777777777777778	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step300.log	No-tag ScalingRL run with coarse curriculum.
plain_split_scaling_2agent	step_350	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	350	0.6343423164553113	0.7111111111111111	0.0	0.0	0.2	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step350.log	No-tag ScalingRL run with coarse curriculum.
plain_split_scaling_2agent	step_400	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	400	0.5469035560886065	0.6333333333333333	0.06666666666666665	0.06666666666666667	0.24444444444444444	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step400.log	No-tag ScalingRL run with coarse curriculum.
plain_split_scaling_2agent	step_450	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	450	-0.20000000298023224	0.0	1.0	1.0	0.0	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step450.log	No-tag ScalingRL run with coarse curriculum.
plain_split_scaling_2agent	step_500	planner_executor	plain_split_no_tags	True	[6,13,20]	single_run_checkpoints	500	-0.20000000298023224	0.0	1.0	1.0	0.0	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step500.log	No-tag ScalingRL run with coarse curriculum.
dense_scaling_2agent	step_50	planner_executor	plain_split_no_tags	True	[6,8,10,13,16,20]	single_run_checkpoints	50	0.11229634351200528	0.12222222222222222	0.0	0.0	0.011111111111111112	0.1333333333333333	0.0	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/2026-03-23_dense500_eval_and_traces/logs/eval_step50.log	No-tag ScalingRL run with denser curriculum and retries.
dense_scaling_2agent	step_100	planner_executor	plain_split_no_tags	True	[6,8,10,13,16,20]	single_run_checkpoints	100	0.08722239252593782	0.1	0.24444444444444446	0.24444444444444444	0.03333333333333333	0.4111111111111111	0.0	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/2026-03-23_dense500_eval_and_traces/logs/eval_step100.log	No-tag ScalingRL run with denser curriculum and retries.
dense_scaling_2agent	step_150	planner_executor	plain_split_no_tags	True	[6,8,10,13,16,20]	single_run_checkpoints	150	0.2660583183169365	0.28888888888888886	0.1444444444444445	0.14444444444444443	0.044444444444444446	0.5555555555555556	0.011111111111111112	0.011111111111111112	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/2026-03-23_dense500_eval_and_traces/logs/eval_step150.log	No-tag ScalingRL run with denser curriculum and retries.
dense_scaling_2agent	step_200	planner_executor	plain_split_no_tags	True	[6,8,10,13,16,20]	single_run_checkpoints	200	0.4405287702878316	0.4777777777777778	0.1444444444444445	0.14444444444444443	0.011111111111111112	0.3555555555555555	0.0	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/2026-03-23_dense500_eval_and_traces/logs/eval_step200.log	No-tag ScalingRL run with denser curriculum and retries.
dense_scaling_2agent	step_250	planner_executor	plain_split_no_tags	True	[6,8,10,13,16,20]	single_run_checkpoints	250	0.5340208869841364	0.5888888888888889	0.21111111111111114	0.2111111111111111	0.13333333333333333	0.43333333333333335	0.0	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/2026-03-23_dense500_eval_and_traces/logs/eval_step250.log	No-tag ScalingRL run with denser curriculum and retries.
dense_scaling_2agent	step_300	planner_executor	plain_split_no_tags	True	[6,8,10,13,16,20]	single_run_checkpoints	300	0.7743132756816016	0.8222222222222222	0.033333333333333326	0.03333333333333333	0.0	0.0	0.0	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/2026-03-23_dense500_eval_and_traces/logs/eval_step300.log	No-tag ScalingRL run with denser curriculum and retries.
dense_scaling_2agent	step_350	planner_executor	plain_split_no_tags	True	[6,8,10,13,16,20]	single_run_checkpoints	350	0.6813135902086894	0.7222222222222222	0.0	0.0	0.011111111111111112	0.011111111111111072	0.0	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/2026-03-23_dense500_eval_and_traces/logs/eval_step350.log	No-tag ScalingRL run with denser curriculum and retries.
dense_scaling_2agent	step_400	planner_executor	plain_split_no_tags	True	[6,8,10,13,16,20]	single_run_checkpoints	400	0.331187428202894	0.4	0.2222222222222222	0.2222222222222222	0.03333333333333333	0.18888888888888888	0.0	0.0	/Users/mavinomichael/PycharmProjects/AgentGym-RL/reports/2026-03-23_dense500_eval_and_traces/logs/eval_step400.log	No-tag ScalingRL run with denser curriculum and retries.
