step	max_rounds	critic/task_score/mean	critic/rewards/mean	reward_events/mean	env_rounds/mean	executor_invalid_action_rate	executor_native_format_violations/unknown	planner_invalid_format_rate/unknown	planner_rewrite_rate/unknown	planner_fallback_rate/unknown	planner_tag_only_rate/unknown	executor_reviewer_pass_rate/unknown	actor/kl_loss	critic/vf_explained_var
81	6.0	0.411	0.411	3.188	3.812	0.062	0.0	0.312	0.312	0.0	0.0	1.0	1.078	0.1
82	6.0	0.666	0.666	1.938	2.188	0.062	0.062	0.0	0.0	0.0	0.0	1.0	2.127	0.57
83	6.0	0.524	0.524	2.938	3.562	0.0	0.0	0.5	0.5	0.0	0.0	1.0	1.153	0.09
84	6.0	0.529	0.529	2.688	3.375	0.0	0.0	0.438	0.438	0.0	0.0	1.0	0.912	0.181
85	6.0	0.529	0.529	2.5	3.0	0.125	0.0	0.375	0.375	0.0	0.0	1.0	0.908	0.129
86	6.0	0.397	0.397	2.312	3.125	0.188	0.0	0.375	0.375	0.0	0.0	1.0	0.709	0.123
87	6.0	0.299	0.299	3.0	4.188	0.25	0.0	0.25	0.25	0.0	0.0	1.0	0.856	0.124
88	6.0	0.284	0.284	2.75	4.0	0.062	0.0	0.75	0.75	0.0	0.0	1.0	1.342	0.049
89	6.0	0.651	0.651	2.188	2.75	0.062	0.0	0.562	0.562	0.0	0.0	1.0	0.869	0.065
90	6.0	0.051	0.051	2.312	3.75	0.312	0.125	0.625	0.625	0.0	0.0	1.0	1.118	-0.831
91	6.0	0.448	0.448	1.625	2.625	0.25	0.062	0.438	0.438	0.0	0.0	1.0	1.453	0.218
92	6.0	0.193	0.193	1.562	3.25	0.312	0.125	0.688	0.688	0.0	0.0	1.0	2.01	-2.271
93	6.0	0.584	0.584	1.75	2.375	0.125	0.062	0.5	0.5	0.0	0.0	1.0	1.726	0.32
94	6.0	-0.018	-0.018	1.438	2.188	0.688	0.688	0.312	0.312	0.0	0.0	1.0	1.407	-0.566
95	6.0	-0.163	-0.163	1.062	1.688	0.938	0.812	0.438	0.438	0.0	0.0	1.0	3.039	-0.024
96	6.0	0.206	0.206	1.0	1.688	0.5	0.5	0.625	0.625	0.0	0.0	1.0	1.538	-0.197
97	6.0	0.053	0.053	1.125	1.688	0.688	0.688	0.75	0.75	0.0	0.0	1.0	0.677	0.147
98	6.0	-0.093	-0.093	0.812	1.0	0.938	0.875	1.0	1.0	0.0	0.0	1.0	0.326	0.191
99	6.0	-0.175	-0.175	1.0	1.188	0.938	0.812	0.875	0.875	0.0	0.0	1.0	0.307	-0.315
100	6.0	-0.188	-0.188	1.062	1.312	0.938	0.812	1.0	1.0	0.0	0.0	1.0	0.469	-1.04
