step	avg_at_1	pass_at_1	executor_native_format_violations	invalid_format_termination_rate	invalid_action_termination_rate	planner_invalid_format_rate	planner_fallback_rate	planner_tag_only_rate	checkpoint_path	eval_log
50	0.0	0.0	0.9	0.9	0.0	0.9	0.9	0.9	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/global_step_50	/home/mavinomichael/agentgym_runs/logs/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/eval_logs/eval_step50.log
100	0.0	0.0	0.9	0.9	0.0	0.9	0.9	0.9	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/global_step_100	/home/mavinomichael/agentgym_runs/logs/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/eval_logs/eval_step100.log
150	0.0	0.0	0.9	0.9	0.0	0.9	0.9	0.9	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/global_step_150	/home/mavinomichael/agentgym_runs/logs/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/eval_logs/eval_step150.log
200	0.0	0.0	0.9	0.9	0.0	0.9	0.9	0.9	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/global_step_200	/home/mavinomichael/agentgym_runs/logs/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/eval_logs/eval_step200.log
250	0.0	0.0	0.9	0.9	0.0	0.9	0.9	0.9	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/global_step_250	/home/mavinomichael/agentgym_runs/logs/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/eval_logs/eval_step250.log
300	0.0	0.0	0.9	0.9	0.0	0.9	0.9	0.9	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/global_step_300	/home/mavinomichael/agentgym_runs/logs/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/eval_logs/eval_step300.log
350	0.0	0.0	0.9	0.9	0.0	0.9	0.9	0.9	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/global_step_350	/home/mavinomichael/agentgym_runs/logs/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/eval_logs/eval_step350.log
400	0.0	0.0	0.9	0.9	0.0	0.9	0.9	0.9	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/global_step_400	/home/mavinomichael/agentgym_runs/logs/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/eval_logs/eval_step400.log
450	0.0	0.0	0.9	0.9	0.0	0.9	0.9	0.9	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/global_step_450	/home/mavinomichael/agentgym_runs/logs/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/eval_logs/eval_step450.log
500	0.0	0.0	0.9	0.9	0.0	0.9	0.9	0.9	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/global_step_500	/home/mavinomichael/agentgym_runs/logs/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/eval_logs/eval_step500.log
550	0.0	0.0	0.9	0.9	0.0	0.9	0.9	0.9	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/global_step_550	/home/mavinomichael/agentgym_runs/logs/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/eval_logs/eval_step550.log
600	0.0	0.0	0.9	0.9	0.0	0.9	0.9	0.9	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/global_step_600	/home/mavinomichael/agentgym_runs/logs/webarena_2agent_scaling_600_8gpu_plain_split_notag_clean_v2/eval_logs/eval_step600.log
